n_neighbors,min_dist,n_components,metric,optimal_k,optimal_silhouette
10,0.25,100,manhattan,3,0.39109683
10,0.1,20,minkowski,6,0.39109272
20,0.25,100,manhattan,3,0.39036697
20,0.1,10,euclidean,3,0.39004028
2,0.25,2,minkowski,10,0.3900315
5,0.25,10,euclidean,10,0.39000222
50,0.1,20,manhattan,3,0.38990235
20,0.1,50,euclidean,3,0.38975996
10,0.1,50,minkowski,3,0.3897304
5,0.25,100,euclidean,8,0.38951817
20,0.25,10,manhattan,3,0.38941896
10,0.1,10,euclidean,3,0.3891712
20,0.1,50,minkowski,3,0.38911986
20,0.25,50,manhattan,3,0.38694507
100,0.0,50,euclidean,4,0.3869351
20,0.25,5,manhattan,3,0.3869348
10,0.25,10,manhattan,4,0.3868771
100,0.1,100,manhattan,3,0.38673148
200,0.0,100,manhattan,3,0.38586614
200,0.0,20,manhattan,3,0.38574052
5,0.25,100,manhattan,4,0.38404477
10,0.25,5,manhattan,3,0.3837248
5,0.25,50,euclidean,10,0.3832832
100,0.0,20,minkowski,4,0.38216203
100,0.0,10,euclidean,3,0.38077956
2,0.25,2,euclidean,10,0.38074923
100,0.1,5,manhattan,3,0.38010716
200,0.0,5,manhattan,3,0.37995774
100,0.1,50,chebyshev,2,0.37970373
5,0.25,5,minkowski,4,0.37955365
200,0.0,10,manhattan,3,0.37941387
100,0.0,100,minkowski,3,0.37933332
100,0.1,10,manhattan,3,0.3791399
100,0.1,50,manhattan,3,0.37836477
100,0.0,5,minkowski,3,0.37823993
100,0.1,20,manhattan,3,0.378203
100,0.0,20,euclidean,3,0.37770852
100,0.0,5,euclidean,3,0.37658605
50,0.1,100,minkowski,4,0.37649348
100,0.1,20,chebyshev,2,0.37626332
100,0.0,100,euclidean,3,0.37579072
50,0.1,20,minkowski,3,0.37565717
50,0.25,50,chebyshev,2,0.37504724
5,0.25,5,euclidean,10,0.37491918
200,0.1,10,chebyshev,2,0.37453812
100,0.0,50,minkowski,3,0.3737073
50,0.1,20,euclidean,3,0.37343332
100,0.0,10,minkowski,3,0.3730679
200,0.0,50,manhattan,3,0.3730232
10,0.25,5,euclidean,3,0.37293613
50,0.1,50,minkowski,3,0.37238452
50,0.1,5,minkowski,3,0.3723245
50,0.1,10,euclidean,4,0.3717479
50,0.1,5,euclidean,3,0.3712376
20,0.25,5,minkowski,3,0.37104523
100,0.1,10,chebyshev,2,0.37038755
5,0.25,100,minkowski,5,0.37018725
200,0.1,100,chebyshev,2,0.36961922
200,0.1,20,chebyshev,2,0.36949766
20,0.1,20,minkowski,6,0.36939692
5,0.25,50,manhattan,3,0.36910924
10,0.25,20,minkowski,4,0.36845914
50,0.1,100,euclidean,3,0.36819723
5,0.25,10,minkowski,3,0.36816913
50,0.25,50,manhattan,3,0.36741775
50,0.25,20,manhattan,3,0.36670107
50,0.1,10,minkowski,3,0.36619717
50,0.1,50,euclidean,3,0.36610883
10,0.25,10,minkowski,3,0.36532593
20,0.25,50,euclidean,4,0.36489475
10,0.25,5,minkowski,3,0.36406383
20,0.25,20,minkowski,4,0.36400938
50,0.25,10,manhattan,3,0.36361188
10,0.25,100,euclidean,4,0.36335725
50,0.25,5,manhattan,3,0.3621304
20,0.25,10,minkowski,3,0.36131355
20,0.25,10,euclidean,3,0.36054957
200,0.0,5,minkowski,4,0.35918292
200,0.1,5,manhattan,3,0.3586439
20,0.25,50,minkowski,3,0.35840693
10,0.25,50,euclidean,3,0.35792828
200,0.1,50,manhattan,3,0.35705325
10,0.25,50,minkowski,4,0.356934
50,0.25,100,manhattan,3,0.35689476
100,0.1,50,minkowski,3,0.356878
20,0.25,100,euclidean,4,0.35681012
10,0.25,10,euclidean,4,0.35606992
200,0.1,20,manhattan,3,0.3557245
100,0.1,100,minkowski,3,0.35522586
20,0.25,5,euclidean,3,0.35478652
100,0.1,5,euclidean,3,0.35367006
200,0.1,5,chebyshev,2,0.35300228
200,0.1,100,manhattan,3,0.35267386
100,0.1,100,euclidean,4,0.35261458
200,0.1,10,manhattan,3,0.35260797
50,0.25,100,chebyshev,2,0.3524025
100,0.1,5,minkowski,3,0.3523648
100,0.1,50,euclidean,3,0.35083956
200,0.0,20,euclidean,4,0.35017705
100,0.1,20,minkowski,3,0.350037
100,0.1,10,minkowski,3,0.34977773
200,0.0,50,euclidean,3,0.34967646
10,0.25,20,euclidean,3,0.3491379
100,0.1,20,euclidean,3,0.34885883
200,0.0,10,euclidean,3,0.3478054
100,0.25,20,chebyshev,2,0.34755105
100,0.25,20,manhattan,3,0.34712148
200,0.1,50,chebyshev,2,0.34678483
200,0.0,20,minkowski,3,0.34658444
100,0.25,100,manhattan,3,0.34655818
200,0.25,100,chebyshev,2,0.34649906
20,0.25,100,minkowski,3,0.3462334
50,0.25,5,minkowski,3,0.34616882
10,0.25,100,minkowski,10,0.34602967
200,0.0,50,minkowski,3,0.34602344
200,0.0,5,euclidean,3,0.345259
100,0.25,50,manhattan,3,0.34488958
200,0.25,20,chebyshev,2,0.34468967
100,0.1,10,euclidean,3,0.3445129
100,0.25,5,manhattan,3,0.34408355
200,0.0,100,euclidean,3,0.3440497
100,0.25,10,manhattan,3,0.3438316
200,0.0,10,minkowski,3,0.3433033
